Period,LoadLevel,FuelCost BTC [EUR],FuelCost Boiler [EUR]
2030,0,837.9375,358.8
2030,1,630.6876249999999,179.4
2030,2,706.102,89.7
2030,3,731.8029788039361,95.52710484481484
2030,4,731.8029788039361,136.34060484481486
2030,5,731.8029788039361,152.9351048448149
2030,6,731.8029788039361,192.40310484481486
2030,7,731.8029788039361,200.47610484481484
2030,8,731.8029788039361,216.17360484481492
2030,9,884.6720675000001,101.80949999999999
2030,10,1182.7212119879657,106.65300937283043
2030,11,1164.0256539959885,89.7
2030,12,924.524375,89.7
2030,13,536.28,89.7
2030,14,536.28,89.7
2030,15,675.377625,89.7
2030,16,712.8054999999999,89.7
2030,17,731.8029788039361,91.04210484481486
2030,18,830.7634515416667,89.7
2030,19,850.8786067500001,89.7
2030,20,1166.409,89.7
2030,21,1012.0796539959885,269.1
2030,22,903.7064039959885,405.89250000000004
2030,23,988.7662499999999,226.49250000000004
2030,24,882.258248875,89.7
2030,25,731.8029788039361,153.3836048448148
2030,26,731.8029788039361,164.59610484481482
2030,27,731.8029788039361,198.2336048448148
2030,28,731.8029788039361,190.16060484481483
2030,29,731.8029788039361,174.01460484481484
2030,30,731.8029788039361,165.04460484481487
2030,31,731.8029788039361,191.50610484481487
2030,32,731.8029788039361,187.46960484481488
2030,33,655.2671250000001,89.7
2030,34,1102.72575,89.7
2030,35,1184.9557119879655,114.2775093728305
2030,36,1136.8018749999999,89.7
2030,37,792.1423535416668,89.7
2030,38,731.8029788039361,99.11510484481484
2030,39,731.8029788039361,156.9716048448149
2030,40,731.8029788039361,134.54660484481488
2030,41,731.8029788039361,164.59610484481482
2030,42,884.6720675000001,99.56699999999995
2030,43,884.6720675000001,107.63999999999994
2030,44,1191.5471249999998,89.7
2030,45,1040.3833206626553,269.1
2030,46,903.7064039959885,414.41399999999993
2030,47,1011.669875,235.01399999999995
2030,48,817.0851460000001,89.7
