Period,LoadLevel,QInHP HP [MW]
2030,0,4.94
2030,1,7.526666666666667
2030,2,8.426666666666668
2030,3,8.733383800151397
2030,4,8.733383800151397
2030,5,8.733383800151397
2030,6,8.733383800151397
2030,7,8.733383800151397
2030,8,8.733383800151397
2030,9,10.000000000000002
2030,10,9.661337653320992
2030,11,9.326666666666668
2030,12,7.260000000000002
2030,13,6.1400000000000015
2030,14,5.8933333333333335
2030,15,8.06
2030,16,8.506666666666668
2030,17,8.733383800151397
2030,18,9.553333333333333
2030,19,9.72
2030,20,9.593333333333335
2030,21,6.606666666666667
2030,22,4.666666666666667
2030,23,7.486666666666668
2030,24,9.98
2030,25,8.733383800151397
2030,26,8.733383800151397
2030,27,8.733383800151397
2030,28,8.733383800151397
2030,29,8.733383800151397
2030,30,8.733383800151397
2030,31,8.733383800151397
2030,32,8.733383800151397
2030,33,7.820000000000001
2030,34,8.760000000000002
2030,35,9.70133765332099
2030,36,9.126666666666667
2030,37,9.233333333333334
2030,38,8.733383800151397
2030,39,8.733383800151397
2030,40,8.733383800151397
2030,41,8.733383800151397
2030,42,10.000000000000002
2030,43,10.000000000000002
2030,44,9.866666666666669
2030,45,7.113333333333335
2030,46,4.666666666666667
2030,47,7.720000000000002
2030,48,9.440000000000001
