Period,LoadLevel,QOutput BTC [MW],QOutput Boiler [MW]
2030,0,4.94,8.0
2030,1,7.526666666666667,4.0
2030,2,8.426666666666668,2.0
2030,3,8.733383800151397,2.129924299772906
2030,4,8.733383800151397,3.039924299772906
2030,5,8.733383800151397,3.409924299772907
2030,6,8.733383800151397,4.289924299772906
2030,7,8.733383800151397,4.469924299772906
2030,8,8.733383800151397,4.819924299772907
2030,9,10.000000000000002,2.2699999999999996
2030,10,9.661337653320992,2.3779935200185154
2030,11,9.326666666666668,2.0
2030,12,7.260000000000002,2.0
2030,13,6.1400000000000015,2.0
2030,14,5.8933333333333335,2.0
2030,15,8.06,2.0
2030,16,8.506666666666668,2.0
2030,17,8.733383800151397,2.0299242997729063
2030,18,9.553333333333333,2.0
2030,19,9.72,2.0
2030,20,9.593333333333335,2.0
2030,21,6.606666666666667,6.0
2030,22,4.666666666666667,9.05
2030,23,7.486666666666668,5.050000000000001
2030,24,9.98,2.0
2030,25,8.733383800151397,3.419924299772905
2030,26,8.733383800151397,3.669924299772905
2030,27,8.733383800151397,4.419924299772905
2030,28,8.733383800151397,4.239924299772905
2030,29,8.733383800151397,3.879924299772906
2030,30,8.733383800151397,3.6799242997729067
2030,31,8.733383800151397,4.2699242997729066
2030,32,8.733383800151397,4.179924299772907
2030,33,7.820000000000001,2.0
2030,34,8.760000000000002,2.0
2030,35,9.70133765332099,2.547993520018517
2030,36,9.126666666666667,2.0
2030,37,9.233333333333334,2.0
2030,38,8.733383800151397,2.209924299772906
2030,39,8.733383800151397,3.499924299772907
2030,40,8.733383800151397,2.999924299772907
2030,41,8.733383800151397,3.669924299772905
2030,42,10.000000000000002,2.219999999999999
2030,43,10.000000000000002,2.3999999999999986
2030,44,9.866666666666669,2.0
2030,45,7.113333333333335,6.0
2030,46,4.666666666666667,9.239999999999998
2030,47,7.720000000000002,5.239999999999998
2030,48,9.440000000000001,2.0
