Period,LoadLevel,Online BTC,Online Boiler
2030,0,1.0,1.0
2030,1,1.0,1.0
2030,2,1.0,1.0
2030,3,1.0,1.0
2030,4,1.0,1.0
2030,5,1.0,1.0
2030,6,1.0,1.0
2030,7,1.0,1.0
2030,8,1.0,1.0
2030,9,1.0,1.0
2030,10,1.0,1.0
2030,11,1.0,1.0
2030,12,1.0,1.0
2030,13,1.0,1.0
2030,14,1.0,1.0
2030,15,1.0,1.0
2030,16,1.0,1.0
2030,17,1.0,1.0
2030,18,1.0,1.0
2030,19,1.0,1.0
2030,20,1.0,1.0
2030,21,1.0,1.0
2030,22,1.0,1.0
2030,23,1.0,1.0
2030,24,1.0,1.0
2030,25,1.0,1.0
2030,26,1.0,1.0
2030,27,1.0,1.0
2030,28,1.0,1.0
2030,29,1.0,1.0
2030,30,1.0,1.0
2030,31,1.0,1.0
2030,32,1.0,1.0
2030,33,1.0,1.0
2030,34,1.0,1.0
2030,35,1.0,1.0
2030,36,1.0,1.0
2030,37,1.0,1.0
2030,38,1.0,1.0
2030,39,1.0,1.0
2030,40,1.0,1.0
2030,41,1.0,1.0
2030,42,1.0,1.0
2030,43,1.0,1.0
2030,44,1.0,1.0
2030,45,1.0,1.0
2030,46,1.0,1.0
2030,47,1.0,1.0
2030,48,1.0,1.0
