Period,LoadLevel,PFS BTC [MW]
2030,0,7.589999999999999
2030,1,0.0
2030,2,0.0
2030,3,0.0
2030,4,0.0
2030,5,0.0
2030,6,0.0
2030,7,0.0
2030,8,0.0
2030,9,0.8366000000000042
2030,10,6.68
2030,11,6.8473354933271615
2030,12,5.66
2030,13,0.3899999999999988
2030,14,0.7599999999999998
2030,15,0.0
2030,16,0.0
2030,17,0.0
2030,18,0.5415766666666677
2030,19,0.651660000000005
2030,20,6.49
2030,21,8.207335493327161
2030,22,9.17733549332716
2030,23,6.47
2030,24,0.8233900000000034
2030,25,0.0
2030,26,0.0
2030,27,0.0
2030,28,0.0
2030,29,0.0
2030,30,0.0
2030,31,0.0
2030,32,0.0
2030,33,0.0
2030,34,6.6
2030,35,6.66
2030,36,6.66
2030,37,0.3302166666666704
2030,38,0.0
2030,39,0.0
2030,40,0.0
2030,41,0.0
2030,42,0.8366000000000042
2030,43,0.8366000000000042
2030,44,6.53
2030,45,7.954002159993827
2030,46,9.17733549332716
2030,47,6.53
2030,48,0.466720000000004
